group,session,date,end_date,title,flag,deadline,content,lesson,example,assignment,note
Foundations,Session 1,2023-06-05,2023-06-09,"Truth, beauty, and data + R and tidyverse",,,content/01-content,lesson/01-lesson,example/01-example,assignment/01-exercise,
Foundations,Session 2,2023-06-05,2023-06-09,Graphic design,,,content/02-content,lesson/02-lesson,example/02-example,assignment/02-exercise,
Foundations,,2023-06-12,,Assignments for sessions 1 and 2 due,,11:59 PM,,,,,
Foundations,Session 3,2023-06-12,2023-06-16,Mapping data to graphics,,,content/03-content,lesson/03-lesson,example/03-example,assignment/03-exercise,
Core types of graphics,Session 4,2023-06-12,2023-06-16,Amounts and proportions,,,content/04-content,lesson/04-lesson,example/04-example,assignment/04-exercise,
Core types of graphics,,2023-06-19,,Assignments for sessions 3 and 4 due,,11:59 PM,,,,,
Core types of graphics,Session 5,2023-06-19,2023-06-23,Themes,,,content/05-content,lesson/05-lesson,example/05-example,assignment/05-exercise,
Core types of graphics,Session 6,2023-06-19,2023-06-23,Uncertainty,,,content/06-content,lesson/06-lesson,example/06-example,assignment/06-exercise,
Core types of graphics,,2023-06-19,,Assignments for sessions 5 and 6 due,,11:59 PM,,,,,
Core types of graphics,Session 7,2023-06-26,2023-06-30,Relationships,,,content/07-content,lesson/07-lesson,example/07-example,assignment/07-exercise,
Core types of graphics,Session 8,2023-06-26,2023-06-30,Comparisons,,,content/08-content,lesson/08-lesson,example/08-example,assignment/08-exercise,
Core types of graphics,,2023-07-03,,Assignments for sessions 7 and 8 due,,11:59 PM,,,,,
Core types of graphics,,2023-07-03,,Mini project 1 due,TRUE,11:59 PM,,,,assignment/01-mini-project,
Special applications,Session 9,2023-07-03,2023-07-07,Annotations,,,content/09-content,lesson/09-lesson,example/09-example,assignment/09-exercise,
Special applications,Session 10,2023-07-03,2023-07-07,Interactivity,,,content/09-content,lesson/10-lesson,example/10-example,assignment/10-exercise,
Special applications,,2023-07-10,,Assignments for sessions 9 and 10 due,,11:59 PM,,,,,
Special applications,Session 11,2023-07-10,2023-07-14,Time,,,content/11-content,lesson/11-lesson,example/11-example,assignment/11-exercise,
Special applications,Session 12,2023-07-10,2023-07-14,Space,,,content/12-content,lesson/12-lesson,example/12-example,assignment/12-exercise,
Special applications,,2023-07-17,,Assignments for sessions 11 and 12 due,,11:59 PM,,,,,
Special applications,,2023-07-17,,Mini project 2 due,TRUE,11:59 PM,,,,assignment/02-mini-project,
Special applications,Session 13,2023-07-17,2023-07-21,Text,,,content/13-content,lesson/13-lesson,example/13-example,assignment/13-exercise,
Special applications,Session 14,2023-07-17,2023-07-21,Enhancing graphics,,,content/14-content,lesson/14-lesson,example/14-example,assignment/14-exercise,
Special applications,,2023-07-24,,Assignments for sessions 13 and 14 due,,11:59 PM,,,,,
Conclusions,Session 15,2023-07-24,2023-07-25,"Truth, beauty, and data revisited",,,content/15-content,lesson/15-lesson,example/15-example,assignment/15-exercise,
Conclusions,,2023-07-30,,Final project due,TRUE,11:59 PM,,,,assignment/final-project,
